GAdenoma	GCarcinoma	GQuimio
1001_at	6.46116199815955	6.16841515296468	6.51701670752399
1002_f_at	4.91297417179209	4.92272138597397	4.95069034422033
1003_s_at	6.92759137415399	6.98762191290979	6.94090575409996
1004_at	6.70258304524161	6.72995350335621	6.6512024489399
1006_at	4.7752981952516	5.19374802330762	4.79488517534194
1010_at	6.31696664918349	6.34057825184588	6.27539909950532
1012_at	4.40650253779776	4.14733665052444	4.34807850541736
1015_s_at	6.59685130216586	6.65707710411365	6.54886698888023
1016_s_at	4.07000293862363	4.16256955907699	4.12055862535186
1018_at	6.8701047304023	6.77641619135703	6.89284115775964
1019_g_at	7.66537343752565	7.70925838101282	7.72320466903282
102_at	4.00568243991815	3.98140900826666	4.02016341482055
1021_at	5.28153235321128	5.37593524031755	5.26841883862316
1022_f_at	4.38765312120978	4.38710904485049	4.37714879259944
1023_at	6.69778494199141	6.83235282179005	6.69874234623538
1024_at	6.53717053527073	6.59054871069057	6.51842015535906
1025_g_at	5.21160964018951	5.26952460265459	5.18717488162248
1026_s_at	7.35203614631069	7.35308440164307	7.40046125777003
1027_at	6.32204170087724	6.41832441022618	6.21768814163751
1028_at	5.92153578353297	5.93503568130973	5.85683881425472
1029_s_at	4.46963337407434	4.80224996299479	4.46198913313403
1032_at	8.33240986454849	8.26136964682748	8.30847156162086
1033_g_at	6.2105606110903	6.22519630520023	6.24521685752998
1036_at	3.99204768906748	4.29891869474036	4.0739017906751
1037_at	4.40078151137831	4.41946684879592	4.39090957147814
1040_s_at	5.67003785581058	6.02904045750231	5.70237079875499
1041_at	5.76383323861065	5.79283916033623	5.70868344185248
1043_s_at	4.29978551559885	4.23863964033727	4.21319071930182
1048_at	5.59996340428013	5.45782308327855	5.50712062390988
1049_g_at	6.97654332190945	7.09482915921276	7.02963357916251
105_at	4.72417027625088	4.68396455762135	4.74283175613883
1050_at	3.01859284099603	3.11368803212924	2.98436597502623
1051_g_at	5.81582186504619	5.807585855012	5.80697988730072
1056_s_at	4.50552981979112	4.61207206174709	4.52068391168899
1059_at	4.16988050944614	4.17686947112319	4.13253536645746
106_at	6.43817387401549	7.163295110272	7.19662379349869
1060_g_at	7.24355034096294	7.11099332174125	7.22102445490021
1061_at	7.08071888006321	7.29912931553382	7.30348260513644
1065_at	5.48997465098964	5.55782029080267	5.52057615357305
1066_at	6.57152791288344	6.7158455661328	6.56288095016716
1067_at	5.71833019853208	5.60233676078229	5.82681238370474
1068_g_at	7.86630827395258	7.87254340696847	7.88648017488008
1069_at	4.56561710562717	5.24737116011667	4.70019508863392
107_at	6.44845749936462	6.33279445988268	6.37757360771959
1071_at	6.83329303034942	6.89411426845685	6.8236340766073
1072_g_at	7.3898934263603	7.49198545106659	7.36993221919229
1075_f_at	4.25580798814937	4.26671319607155	4.23129329037753
1076_at	3.80303151206238	3.66414372967515	3.69619411490326
1077_at	3.66763468769217	3.78892912642269	3.68934341610865
1078_at	4.34562852563189	4.41171592233993	4.36640385381289
1079_g_at	6.79815833408481	6.71707653326126	6.83004618399981
108_g_at	8.10012571688249	8.00774732780055	8.05710004796545
1080_s_at	5.11571121250881	5.19078177512911	5.0235988362772
1082_at	6.30228898326809	6.19034420338996	6.07772371191914
1084_at	5.64454572793719	5.79807763015135	5.63527689021332
1086_at	5.82620514888349	5.84489447559523	5.84369008291031
1087_at	6.42413194451916	6.96851573443186	6.53678731282701
1088_at	3.63888482044558	3.78823775360152	3.52348106931659
1089_i_at	9.16554916317806	7.98350363745524	8.86927272314775
1092_at	9.09289105548096	9.15555823828462	8.98684357970832
1094_g_at	7.10451680671167	7.27126161012157	7.00142424879615
1095_s_at	2.82203861620875	2.87270390169729	2.83472552310986
1096_g_at	6.22472683469683	6.22872338238097	6.35645870873097
1098_at	3.828072566765	3.79910893464758	3.84116051420667
1099_s_at	5.85958540834531	5.44108675939987	5.61316645451154
110_at	7.9778921304499	7.9906713768395	7.93208256084551
1108_s_at	6.28902770721806	7.07098169888905	6.54182900378821
1109_s_at	6.51088072051407	6.62425114355396	6.49531272262498
1111_at	5.7349597726789	5.69864953195209	5.75344773846485
1112_g_at	6.11074663611036	6.21041362746745	6.13181219497606
1113_at	4.70059561872094	4.65138053531398	4.67858366469231
1115_at	4.32330533468397	4.48335932772439	4.32742208598552
1117_at	6.22546668804618	6.34531931741796	6.07969467582984
1118_at	6.09150290875611	6.21933294848954	6.16333093559093
112_g_at	4.54288147630498	4.5400647329399	4.46071041976979
1123_at	7.0513249023781	7.16419728854972	7.0763229736699
1125_s_at	5.11321016240937	5.69587851154425	5.35323495170722
1127_at	7.99659432788007	8.5099792342777	8.1173482305434
1128_s_at	6.18660069041994	6.424798645064	6.3144789448479
1129_at	6.35179464678749	6.31678878082778	6.33958224738602
113_i_at	4.89489609137239	5.0506995334376	4.92492408160522
1132_s_at	7.1096650895045	7.26898281192936	7.13758108670693
1133_at	5.01984230739224	5.23684667520416	5.03465298483442
1139_at	5.79906124145097	5.86742310983843	5.79242322938274
114_r_at	6.00586095513993	6.20645686897043	6.05165374244816
1140_at	5.96015130998541	5.73848451206177	5.90594567996214
1142_at	6.75734767844194	6.82959514244489	6.73618224412411
1144_at	4.69523719923752	4.82634987677166	4.69179155728913
1145_g_at	6.4964529857939	6.82280164845802	6.59496556311432
1146_at	6.61048183649906	6.89865913031663	6.93783529849312
1148_s_at	4.72328217866394	4.89686755381509	4.75536887985362
1149_at	5.13833435414067	5.33829081225799	5.22581932105508
1152_i_at	5.24150841456525	5.5633033912992	5.35858021772301
1153_f_at	8.78144314888926	8.63346422093198	8.70012313700815
1155_at	8.33731769534299	8.17354889930361	8.33587932527208
1156_at	5.94954453660565	6.41590727582127	5.99724070542275
1157_s_at	5.62393188167961	6.07812932167072	5.70898819986796
1159_at	3.1705239992762	3.21215872231567	3.22487181726501
1167_s_at	8.67309941500411	8.84929156108784	8.74903615160872
1168_at	4.6997726161975	4.64087982394542	4.66065740662371
1172_at	6.22957599908773	6.1282506396932	6.18830603525002
1174_at	4.73670526425283	4.80172559513304	4.77323105098825
1175_s_at	5.25165147907909	5.21252802892394	5.28591899355732
1176_at	5.99015963323046	5.96687754052882	5.99536662494261
118_at	6.10099070748768	6.30975842529072	6.10383382176211
1181_at	7.48144516187534	7.42966331737673	7.3245616807496
1183_at	5.18005636650918	5.30651497656308	5.20383538197731
1185_at	6.53147125289039	6.54307605668661	6.50623565429046
1186_at	3.69740019752925	3.68231336503373	3.75101691044405
1187_at	7.46067973393917	7.51174802875545	7.48158228926227
1188_g_at	6.31165273078773	6.27876477869759	6.18408444422224
1190_at	3.75145165902804	4.49964055842721	3.90608424507115
1193_at	6.90932651408018	6.98868564914885	6.96629489934459
1194_g_at	5.1653074644289	5.22316281475894	5.08967265894364
1198_at	3.25536414315753	3.26659330210309	3.28008666198846
1200_at	5.8470405701315	5.95172950840632	5.8476986046066
1201_at	4.46441198736752	4.52040578818371	4.49422465031854
1202_g_at	6.53157944541879	6.56448019965979	6.49952805276658
1203_at	4.23862651558864	4.28768200540671	4.19018121423466
1204_at	4.80744559967846	4.78087824196044	4.8547259162133
1205_at	4.37739189275162	4.44391356970344	4.33398835966426
1206_at	6.85209394287561	7.61471560585645	7.01143519611175
1207_at	6.17237276508067	6.10859163157551	6.14900404892529
1208_at	6.4607261209477	6.69218532022591	6.50064944836159
1209_at	5.95594056696509	5.96421092814168	5.87994108749353
1210_s_at	7.1533565598226	7.1330644873482	7.08164502976014
1212_at	7.18289799546764	7.36735106941399	7.09895754199936
1214_s_at	3.9090044566675	3.89003808787966	3.84106853051733
1217_g_at	4.29491262491888	4.49570353146439	4.49931389723795
1219_at	6.65113791273979	6.50184025893035	6.66185511356718
122_at	5.36135385911295	5.69607694629308	5.37899661524238
1221_at	6.58003880500709	6.68686009035339	6.53900196688703
1223_at	6.34280060786981	6.41246563866798	6.39138413057011
1227_g_at	5.30008538400611	5.70200761522414	5.43337732784585
1233_s_at	8.64105435378954	8.5769173654803	8.63547389890511
1234_at	4.29973151319165	4.2452020208825	4.3099180646429
1236_s_at	6.97505284188666	7.05660663955055	7.00498864836454
1239_s_at	5.23544180130323	5.37491217537906	5.18383080712838
1240_at	6.41188672821008	6.5727705824658	6.33050076536116
1246_at	8.5315524365102	8.56533572980972	8.57469880474326
1247_g_at	5.81170200067349	6.00509866016085	5.67801958349727
1249_at	4.44503842190974	4.25396169493578	4.34046947211599
1251_g_at	6.47639598147016	7.18104260039841	6.4958414453955
1254_at	7.97135118183078	7.83939353730809	7.94702122305673
1255_g_at	4.74690828859181	4.63542214432528	4.64989706238912
1256_at	5.74740543649953	5.53411291985007	5.81024105941165
1259_at	6.61850939395538	6.5315783212724	6.54085332400955
126_s_at	2.82874948402364	3.03261630860828	2.88720724638816
1260_s_at	5.16734193501549	4.36370246022531	5.73902574748469
1261_i_at	7.00765016515561	6.94801147953549	7.10748762280174
1263_at	6.25331002645482	6.2317639168432	6.26191919434185
1266_s_at	5.76919416114948	5.87167884940783	5.78879025193387
1267_at	6.3188885902675	6.4891771016722	6.49131478869113
1273_r_at	7.602057835067	7.68366631344805	7.56590700039911
1277_at	7.19196004152076	7.33093283450414	7.14229819850841
1279_s_at	6.41766643561715	6.52328674232585	6.42365039559852
1280_i_at	8.03916211679131	8.00644815500615	8.19079979936817
1281_f_at	6.83040109719085	6.83438125927829	6.71399437885273
1282_s_at	4.7249532964441	4.85709619618549	4.70640382615532
1283_at	4.51844246680036	4.47612033534298	4.41006946166179
1285_at	5.34273469270369	5.04791541719283	5.14870931538778
1286_s_at	3.40717883705423	3.45896867242991	3.32390404703741
1292_at	6.82237228323546	6.97037020391186	6.96629153223303
1293_s_at	5.18936471721705	5.1228229908994	5.13693041465243
1296_at	7.69345245937059	7.79594698897744	7.74274979260473
1297_at	6.3271220886151	5.58317140515264	6.1592874749088
1298_at	3.75655070923112	3.64149248179127	3.82254300405794
1299_at	3.43959128387678	3.37641570600809	3.33061267782032
130_s_at	6.65728432962224	6.64839266987837	6.59918003443822
1303_at	5.32244522465122	5.73774249820991	5.46035534615515
1304_at	4.8935234137318	4.86822691788273	4.81551046212013
1305_s_at	7.46171242200206	7.50530696866419	7.45733861039958
1317_at	5.66504310376506	6.25999840522924	5.84613560942734
1320_at	6.21760777773677	5.92757616198017	6.01847972115286
1321_s_at	6.31479167500339	6.75271182912574	6.41105316131005
1322_at	6.72404299755215	6.68333588942416	6.72299410547122
1324_at	7.41227542118335	7.42965768431054	7.42923797286599
1330_at	7.32120731505086	7.15763474904157	7.32154429388554
1331_s_at	7.38120300423833	7.3009045447081	7.35110971535959
1332_f_at	6.79691958077122	6.82457925215554	6.81859526902357
1333_f_at	6.9031577126839	7.28598330603512	6.90787949941888
1334_s_at	8.37391620418869	8.42210583456486	8.34354608583753
1335_at	6.85699682482128	6.9734078673623	6.82911157047806
1336_s_at	5.06962968323958	5.08451132592394	5.17883814781264
1337_s_at	6.03532597749288	5.92916425928682	5.94244120243345
1338_s_at	6.11099183161312	6.00550919728567	6.0194067433745
134_at	5.96002786716907	6.35097112185212	6.01546085228575
1340_s_at	5.66710556332459	5.71193516115378	5.66681065099921
1341_at	4.55645074106322	5.09882061088852	4.89701491904417
1343_s_at	3.51584289327808	3.61195669299988	3.57132160839749
1344_at	6.12345772608178	6.0717972948261	6.02278942756719
1345_s_at	5.66176547626209	5.68927083959754	5.65641645079902
1346_at	8.40735948881387	8.54953852312182	8.38458278859243
