"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3214815","HDACs deacetylate histones","38/732","94/10616",2.12154722355196e-20,2.62223236831023e-17,2.16174496041926e-17,"H2BC11/H2BC14/H2AC16/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H2AC11/H2AC13/H2AC15/H2AC17/H2AC12/ARID4B/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/BRMS1/TBL1X/H2AC7/REST",38
"R-HSA-2299718","Condensation of Prophase Chromosomes","32/732","73/10616",1.20283575420396e-18,7.43352496098049e-16,6.1281316319444e-16,"H2BC11/H2BC14/CDK1/H2AC8/H3C4/SMC2/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/PLK1/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/RB1/H2AC7",32
"R-HSA-912446","Meiotic recombination","34/732","85/10616",3.28610936650931e-18,1.27949176597753e-15,1.0548015921191e-15,"H2BC11/H2BC14/BLM/H2AC8/H3C4/RPA3/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/BRCA2/RAD51/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/RAD51C/H2AC7/BRCA1",34
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","30/732","66/10616",4.1407500517072e-18,1.27949176597753e-15,1.0548015921191e-15,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7/KLK3/KLK2",30
"R-HSA-9616222","Transcriptional regulation of granulopoiesis","34/732","89/10616",1.80431830697206e-17,4.30786679158368e-15,3.55136693429825e-15,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/CSF3R/TFDP2/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/SPI1/MYB/H2AC7/TAL1/PML",34
"R-HSA-3214858","RMTs methylate histone arginines","32/732","79/10616",2.09119747164256e-17,4.30786679158368e-15,3.55136693429825e-15,"H2AC16/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H2AC11/H2AC13/H2AC15/H2AC17/H2AC12/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7",32
"R-HSA-73728","RNA Polymerase I Promoter Opening","28/732","62/10616",6.78450666485082e-17,1.19795003396509e-14,9.87579316026405e-15,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7",28
"R-HSA-427359","SIRT1 negatively regulates rRNA expression","29/732","67/10616",7.80428343125282e-17,1.20576179012856e-14,9.94019258085885e-15,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/TAF1B/H2AC7",29
"R-HSA-5334118","DNA methylation","28/732","64/10616",1.90121462285338e-16,2.6110014153853e-14,2.15248626306675e-14,"H2BC11/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7",28
"R-HSA-212300","PRC2 methylates histones and DNA","29/732","72/10616",8.1404656009495e-16,1.00616154827736e-13,8.2947060018096e-14,"H2BC11/EZH2/H2BC14/H2AC8/H3C4/H3C1/H3C3/H3C6/H3C11/H3C8/H3C12/H3C10/H3C2/H3C7/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H2AC7",29
