"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3214815","HDACs deacetylate histones","35/684","94/10616",1.82481583504042e-18,1.11903552827873e-15,9.17781277622086e-16,"H2BC11/H2BC14/H3C4/H2AC16/H2AC8/H3C11/REST/H2AC11/H2AC13/H2AC15/H2AC17/H2AC12/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7/H2BC15",35
"R-HSA-2299718","Condensation of Prophase Chromosomes","31/684","73/10616",1.83749676236245e-18,1.11903552827873e-15,9.17781277622086e-16,"H2BC11/H2BC14/SMC2/H3C4/H2AC8/CDK1/H3C11/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7/H2BC15/PLK1",31
"R-HSA-912446","Meiotic recombination","33/684","85/10616",3.92722464442607e-18,1.59445320563698e-15,1.30769690791591e-15,"H2BC11/H2BC14/H3C4/BLM/H2AC8/RPA3/H3C11/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/RAD51/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7/BRCA2/H2BC15/BRCA1",33
"R-HSA-73728","RNA Polymerase I Promoter Opening","28/684","62/10616",1.14664994237873e-17,3.05105365987879e-15,2.50233335340504e-15,"H2BC11/H2BC14/H3C4/H2AC8/H3C11/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7/H2BC15",28
"R-HSA-427359","SIRT1 negatively regulates rRNA expression","29/684","67/10616",1.25248508205205e-17,3.05105365987879e-15,2.50233335340504e-15,"H2BC11/H2BC14/H3C4/H2AC8/H3C11/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7/H2BC15/TAF1B",29
"R-HSA-3214858","RMTs methylate histone arginines","31/684","79/10616",2.87451610384412e-17,5.64330420189941e-15,4.6283775711715e-15,"H3C4/H2AC16/H2AC8/H3C11/H2AC11/H2AC13/H2AC15/H2AC17/H2AC12/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7",31
"R-HSA-5334118","DNA methylation","28/684","64/10616",3.24327827695369e-17,5.64330420189941e-15,4.6283775711715e-15,"H2BC11/H2BC14/H3C4/H2AC8/H3C11/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7/H2BC15",28
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","28/684","66/10616",8.74700279380488e-17,1.33173117535679e-14,1.09222442780537e-14,"H2BC11/H2BC14/H3C4/H2AC8/H3C11/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7/H2BC15",28
"R-HSA-212300","PRC2 methylates histones and DNA","29/684","72/10616",1.33721641049078e-16,1.80969954219752e-14,1.48423201585468e-14,"H2BC11/EZH2/H2BC14/H3C4/H2AC8/H3C11/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7/H2BC15",29
"R-HSA-9616222","Transcriptional regulation of granulopoiesis","32/684","89/10616",1.79986707901257e-16,2.19223810223731e-14,1.7979724820873e-14,"H2BC11/H2BC14/H3C4/H2AC8/H3C11/MYB/H4C9/H4C1/H4C4/H4C6/H4C12/H4C11/H4C3/H4C8/H4C2/H4C5/H4C13/H4C14/H4-16/H4C15/H3C1/H3C3/H3C6/H3C8/H3C12/H3C10/H3C2/H3C7/TFDP1/H2BC15/TFDP2/PML",32
