"","GSM180626","GSM180627","GSM180628","GSM180629","GSM180630","GSM180631","GSM180632","GSM180633","GSM180634","GSM180635","GSM180636","GSM180637","GSM180638","GSM180639","GSM180640","GSM180641","GSM180642","GSM180643","GSM180644","GSM180645","GSM180646","GSM180647","GSM180648","GSM180649","GSM180650","GSM180651","GSM180652","GSM180653","GSM180654","GSM180655","GSM180656","GSM180657","GSM180658","GSM180659","GSM180660","GSM180661","GSM180662","GSM180663","GSM180664","GSM180665","GSM180666","GSM180667","GSM180668"
"AKT3",6.6256336477098,6.70593969321187,6.77159252918112,7.0153442236075,6.7354972044767,6.60994239418985,6.83956464266463,6.86649056048482,6.27511844442476,6.79311199202584,5.87477282288812,5.94087981292103,5.65786065920777,6.17083812464417,6.0224807406283,5.83894466593353,5.55343389704113,6.11446353113906,5.85291210650328,6.83836612491547,6.96041112875832,5.94638244136922,6.23184262713837,6.08052831929805,6.470719945659,6.0300773794512,6.2213078740059,6.44041898175632,6.58115657321946,6.42176105164058,5.75897161329348,6.66616843714462,6.78629203570566,6.65982167025718,6.09003010350951,6.62026479981191,6.95526384908294,6.6891913070013,6.73841748306948,6.31036580209219,6.16318765297504,7.51673596869585,6.65130791075914
"ABCC9",5.51545030515886,4.13866356858605,4.76818495999117,6.10322238911785,4.61262871045829,4.63170010439259,4.2750921123825,4.98846689439497,4.44792451903027,5.21047688994152,3.98387405232114,3.95981061827165,4.31491807131899,3.75137863953948,4.53588548337323,4.63156054917153,4.49362494458659,3.6738213076237,3.91444199391136,5.01403202058327,4.77165134973133,4.27494910110005,4.30792230880717,4.1169212677422,4.45774713347773,4.82078694054498,4.5061607715707,5.81875903299621,4.77364294057451,4.81248709124001,3.81154018042141,4.60784452416856,4.00161112133586,4.48009682011789,3.7389480720371,4.69823685395776,4.4395641540488,5.08155336198508,4.79076776044004,4.14726757140994,4.17042477379976,5.25112154395393,4.04541758536952
"RAMP2",7.57530543043916,7.61857687645494,7.53516201030894,6.98975739198198,7.19697336087702,7.35594682064439,7.29551484975119,7.27621168909299,6.69142759086485,7.53128937695449,6.57763983570209,6.75010239399212,6.88985949379243,7.51951019175031,7.07253670801614,6.84286781508701,6.49029085688348,6.54007464808332,6.59343609710499,7.49917712782056,7.44133101381485,7.21819515097662,7.03477171848474,7.14704167023256,7.09873284238268,7.39772374133917,7.91412771991437,7.44565777404791,7.43059512428099,7.44935521158315,7.30840134378259,7.54282163515069,7.55704655275608,7.40320879479636,6.80776861908658,8.21850511385389,7.94399763382648,7.87583366884987,7.66034131443844,7.48520654997229,6.59518209749702,7.22949982127056,6.53411330680529
"SLC25A17",7.11826818829703,8.01816554683837,7.13426883793873,6.91936939928263,7.15135002645134,7.36166958940096,7.29382447939715,7.43763844134001,6.75521512280612,6.97894483563838,6.67827108632982,6.59727806548247,6.63599519751859,6.42238349436577,6.40825748801498,6.32753477597886,6.54999338264324,6.38995626420428,6.46926189788719,7.25274243927177,7.06850868139344,6.51203438103498,6.6417265603303,6.54717255952214,6.5363689907484,6.39143867101463,6.27526622655385,6.56296191597471,7.01894812831106,6.96942011751224,6.19147747056764,8.0088737801075,7.13617964731987,6.95869799414271,6.3776133002331,6.74821369996107,7.42545221837212,7.17406737285635,7.54340760934221,7.06596108119807,6.053961439226,7.69995488770465,6.55899025783978
"NMU",4.83894625258624,4.79278256235273,4.71123720221713,4.82970789154857,4.83919276034805,4.88394313146785,4.94594605231989,5.23141493411281,5.48507637116054,4.86650839489129,7.51633018419009,5.64931286286622,7.10965863481556,7.65698535972264,6.19774453962367,6.90866421433847,5.58144454552039,6.64006803451475,5.52022034371842,4.75959107002021,5.11101995417191,5.16798457498335,6.3867247168855,5.59428037622685,5.45588553460831,6.37711020989541,4.95085913141394,5.10590208379815,4.89696080032303,6.18120810302634,8.43025806545071,5.26303725030911,4.70495069501145,5.16134065279564,5.34860223523568,5.97116422989062,4.89887364014894,5.0108144394774,5.04214945114334,4.96746894691862,5.16735203489343,5.14501908937992,5.04083508449071
"PADI2",6.13669625201568,6.28055281523379,6.13843428044172,5.8629014176771,6.23881572976328,6.15424008739026,6.14443376101916,6.34170361396249,6.00373824820387,6.11210720713079,6.21931215323288,6.61914372382565,6.17097314465885,6.88081725169297,6.96264708536526,7.02331301824925,6.51063248163561,8.04078333283602,7.41158526017484,6.22730245366525,6.29482392563246,7.45656902838225,6.81509532599319,7.80098507671679,6.91619248314425,6.71535269311261,6.29935747258899,6.28507756310728,5.98813769449971,6.15220185432733,7.03475252031122,6.06542210941643,5.93249889880896,6.23828024429314,6.06227127044442,6.18763321729106,6.015141486654,6.0350615252455,5.95037712242979,5.96132013292099,6.64776218569578,5.96331531697121,6.14978153080054
"CCR1",6.99856292923837,7.43180963572787,7.13787339442938,6.75778891506737,6.99371928720688,6.70168573811389,7.31187853950055,6.91666150850459,6.78755243002654,6.82180647485001,7.68412154461029,9.04254184971359,7.52097339334949,6.73402325215518,8.76400861773978,7.33510838223076,7.36630102469161,7.39593872044808,7.79554323416067,6.87913528213884,7.1631033925526,7.71500692929663,8.0917975997796,9.60766493140131,8.53876849464615,7.73239459430004,8.02400787978106,7.61261557945228,7.64892161959226,6.86540449549411,7.40708780338527,7.85662934672887,7.31869927673041,7.91587859266165,7.10051050320754,7.45373985785372,6.87371217079178,6.7517553109552,6.88955973201318,7.13509064184113,7.80657045016398,6.71041648885117,7.35872911876857
"ADH1C",6.59880625365442,7.02595716026899,6.72368593339996,6.41034211304854,6.56693173896582,6.23813333657364,6.24986206061444,6.15492961782949,6.07629016979283,6.58402423430439,5.55326704506634,5.86736249927131,5.85765533868548,6.03475020584523,6.41333873193023,5.83637502330792,6.07574883086788,5.72079425625898,5.81655807935321,6.63408414884537,6.42870534136011,5.97559545303051,6.13094445406353,5.92243939219772,5.84754873402939,6.93203483701437,6.9226644684387,6.81288415516876,6.53437152213654,6.73883538872549,5.95917776007405,6.17149240125547,6.77988078611264,6.23816322493591,5.94800404593748,6.72816529510103,6.62838512191112,6.51928758509376,6.43463290151057,6.46495860375895,5.80623027770034,6.9860026811246,5.73891765504103
"COL9A2",7.89655582080372,8.02052847780116,7.9066225029745,7.94789757738932,7.77120389316328,7.93258662650965,7.7546007930355,7.7001783030114,8.19196898580319,8.00658994277026,9.58845815231109,8.65420091641185,8.91490944342626,8.09999567741654,8.88700751365458,8.20456577886654,8.22248814788889,8.61283143779703,9.36388741489893,7.87236397496856,7.81726039917024,8.218486763483,8.70690493734651,8.39787416547821,9.83877206592846,8.89995815102665,8.24940270279867,8.79524154014145,7.82395627535358,8.85886040777117,8.87438559384553,7.75777135674215,7.54843436050284,7.82501096659945,8.94153713668157,8.19320622951762,7.90055536051011,7.79655349434027,7.79165269760814,7.93183439670558,8.21687041102519,7.42601709813946,8.6168216523092
"AADAC",4.20310415176446,4.54925177879642,4.57163664584445,4.16116156043048,4.27843881456126,4.76389181522427,4.74684909877838,4.76371318522856,4.31172749668701,4.2252366995791,5.93015885478739,4.52442922933288,5.52828348338967,4.56023308886333,4.99074310701505,6.31205827146239,7.63404958806697,4.9092318517943,4.73831840625054,4.82068481788233,4.43840951147912,4.64512405961993,5.18324248660703,4.16164694314792,6.10796641909161,4.26164842703113,4.81827114609601,4.40911399447065,4.26572294869858,5.27338264706284,6.53462544457997,6.60869582792503,4.3536405199153,4.40352673163675,4.69692262963525,6.14606277188985,4.35335107969126,4.24864471182885,4.32279451293631,4.12080546065442,5.61739226204928,4.95265853119701,4.99670806955924
