"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1001_at","TIE1","7075","tyrosine kinase with immunoglobulin like and EGF like domains 1",0.29274684519487,6.43106412415938,2.32711103287443,0.0245951632807396,0.139489354313452,-3.78710067543893
"2","1002_f_at","CYP2C19","1557","cytochrome P450 family 2 subfamily C member 19",-0.00974721418187396,4.93606517332499,-0.131462553800859,0.896005022607375,0.955881223714268,-6.30117434387795
"3","1003_s_at","CXCR5","643","C-X-C motif chemokine receptor 5",-0.0600305387558082,6.94758718735179,-0.640591333184635,0.525090264218125,0.750008487106154,-6.10767545680552
"4","1004_at","CXCR5","643","C-X-C motif chemokine receptor 5",-0.0273704581145937,6.67963420365534,-0.331300047096408,0.741980996314752,0.881714490616355,-6.25549148776439
"5","1006_at","MMP10","4319","matrix metallopeptidase 10",-0.418449828056024,4.87381298536026,-1.98692674642336,0.0531402120544459,0.218317378189783,-4.4415115267816
"6","1010_at","MAPK11","5600","mitogen-activated protein kinase 11",-0.0236116026623945,6.2987081196878,-0.308717096955271,0.758984837347974,0.887684917776438,-6.26262487439384
"7","1012_at","KAT2B","8850","lysine acetyltransferase 2B",0.25916588727332,4.31964975262126,1.96115160628889,0.0561699603788347,0.226918499356524,-4.48765091576034
"8","1015_s_at","LIMK1","3984","LIM domain kinase 1",-0.0602258019477917,6.58267476027458,-0.83126512714404,0.41028490930806,0.671555537466199,-5.97059519593933
"9","1016_s_at","IL13RA2","3598","interleukin 13 receptor subunit alpha 2",-0.0925666204533568,4.11759447503195,-0.980606835630772,0.332115246998017,0.59765736023691,-5.83926123436933
"10","1018_at","WNT10B","7480","Wnt family member 10B",0.0936885390452638,6.86318560028994,0.856730148704586,0.396207811465658,0.661532958646614,-5.9496774038566
"11","1019_g_at","WNT10B","7480","Wnt family member 10B",-0.0438849434871686,7.70683655491069,-0.475387309624181,0.636848149825638,0.822355870836441,-6.19821257711216
"12","102_at","HIPK3","10114","homeodomain interacting protein kinase 3",0.0242734316514936,4.00868435882034,0.26674744323283,0.790902205442427,0.902616130059678,-6.27455026289528
"13","1021_at","IFNG","3458","interferon gamma",-0.0944028871062708,5.29397192609132,-1.31065741109331,0.196732207223098,0.45566350447394,-5.47647255403595
"14","1022_f_at","IFNA14","3448","interferon alpha 14",0.000544076359287438,4.38167636367765,0.00697220401042682,0.994468354620161,0.997498414562352,-6.30969854753564
"15","1023_at","EPO","2056","erythropoietin",-0.134567879798642,6.72648467734125,-1.83068202810091,0.0738841476906719,0.267296640736856,-4.71340691458412
"16","1024_at","CYP1A1","1543","cytochrome P450 family 1 subfamily A member 1",-0.0533781754198426,6.5378773831986,-0.712493785548124,0.479897487850105,0.719201208269982,-6.06005382066766
"17","1025_g_at","CYP1A1","1543","cytochrome P450 family 1 subfamily A member 1",-0.0579149624650777,5.21009337173781,-0.740720826290374,0.462773455424569,0.710787926328811,-6.04000736672835
"18","1026_s_at","COL11A2","1302","collagen type XI alpha 2 chain",-0.00104825533237296,7.37928351777617,-0.013032186635349,0.989660666053226,0.995609062250892,-6.3096385744586
