"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1001_at","TIE1","7075","tyrosine kinase with immunoglobulin like and EGF like domains 1",-0.0558547093644366,6.43106412415938,-0.542008860243302,0.590530193442747,0.992207481930387,-5.70250552236077
"2","1002_f_at","CYP2C19","1557","cytochrome P450 family 2 subfamily C member 19",-0.0377161724282402,4.93606517332499,-0.620970367233976,0.537803254411198,0.992207481930387,-5.65980378948809
"3","1003_s_at","CXCR5","643","C-X-C motif chemokine receptor 5",-0.0133143799459718,6.94758718735179,-0.173440881337022,0.863095489763599,0.992207481930387,-5.82565558808334
"4","1004_at","CXCR5","643","C-X-C motif chemokine receptor 5",0.0513805963017147,6.67963420365534,0.759207132359981,0.451752231753479,0.992207481930387,-5.57138821923273
"5","1006_at","MMP10","4319","matrix metallopeptidase 10",-0.0195869800903417,4.87381298536026,-0.113534447838744,0.91012015251465,0.995436193769217,-5.83371203767355
"6","1010_at","MAPK11","5600","mitogen-activated protein kinase 11",0.0415675496781738,6.2987081196878,0.663454811419272,0.51047948644232,0.992207481930387,-5.63447437168979
"7","1012_at","KAT2B","8850","lysine acetyltransferase 2B",0.0584240323803922,4.31964975262126,0.539692729502554,0.592113299122531,0.992207481930387,-5.70367186533341
"8","1015_s_at","LIMK1","3984","LIM domain kinase 1",0.0479843132856335,6.58267476027458,0.808496160691395,0.423128482462891,0.992207481930387,-5.53569579333535
"9","1016_s_at","IL13RA2","3598","interleukin 13 receptor subunit alpha 2",-0.0505556867282246,4.11759447503195,-0.653780902378119,0.516634606583343,0.992207481930387,-5.64038633439723
"10","1018_at","WNT10B","7480","Wnt family member 10B",-0.0227364273573389,6.86318560028994,-0.253805784132683,0.800820654022559,0.992207481930387,-5.80957517193318
"11","1019_g_at","WNT10B","7480","Wnt family member 10B",-0.0578312315071772,7.70683655491069,-0.764744195696746,0.448481234245421,0.992207481930387,-5.56748724118182
"12","102_at","HIPK3","10114","homeodomain interacting protein kinase 3",-0.0144809749023951,4.00868435882034,-0.194262330888251,0.84685914495359,0.992207481930387,-5.82206882958054
"13","1021_at","IFNG","3458","interferon gamma",0.0131135145881123,5.29397192609132,0.222251511342145,0.825140220340854,0.992207481930387,-5.81660860047598
"14","1022_f_at","IFNA14","3448","interferon alpha 14",0.0105043286103399,4.38167636367765,0.164323712470831,0.870224269418018,0.992939071225021,-5.82709845029716
"15","1023_at","EPO","2056","erythropoietin",-0.000957404243976612,6.72648467734125,-0.0158996866210763,0.987385858573347,0.999354733932644,-5.83963634193733
"16","1024_at","CYP1A1","1543","cytochrome P450 family 1 subfamily A member 1",0.0187503799116717,6.5378773831986,0.305526676502268,0.761397035972155,0.992207481930387,-5.79603723151326
"17","1025_g_at","CYP1A1","1543","cytochrome P450 family 1 subfamily A member 1",0.0244347585670344,5.21009337173781,0.381499116634375,0.704657829701222,0.992207481930387,-5.77163577785474
"18","1026_s_at","COL11A2","1302","collagen type XI alpha 2 chain",-0.048425111459335,7.37928351777617,-0.734924199003437,0.466260993369602,0.992207481930387,-5.5881703694426
"19","1027_at","COL11A2","1302","collagen type XI alpha 2 chain",0.104353559239728,6.28395004883973,1.64492205467847,0.107068857718052,0.883591467618812,-4.61143570182202
"20","1028_at","TOP3A","7156","DNA topoisomerase III alpha",0.0646969692782493,5.88825140719141,0.989366377762806,0.327860622096027,0.992207481930387,-5.38621641052921
"21","1029_s_at","TXK","7294","TXK tyrosine kinase",0.00764424094031035,4.53498424657937,0.0755023325446598,0.940155196127309,0.996379406905377,-5.83708220854487
"22","1032_at","CXCR2","3579","C-X-C motif chemokine receptor 2",0.0239383029276219,8.30418006850774,0.237861784981553,0.813085731882083,0.992207481930387,-5.81324529304285
"23","1033_g_at","CXCR2","3579","C-X-C motif chemokine receptor 2",-0.0346562464396802,6.23296691717266,-0.513681909425838,0.610028766258998,0.992207481930387,-5.71643186192575
"24","1036_at","IL15","3600","interleukin 15",-0.0818541016076111,4.10196251440792,-0.667379122278644,0.507993954550323,0.992207481930387,-5.63205189896731
"25","1037_at","BAGE","574","B melanoma antigen",0.00987193990016966,4.39918247600981,0.179182588628064,0.858611877474699,0.992207481930387,-5.82470700383923
"26","1040_s_at","ABI2","10152","abl interactor 2",-0.032332942944409,5.76322422897085,-0.362202855396447,0.718923729183835,0.992207481930387,-5.7783416945588
"27","1041_at","EFNA5","1946","ephrin A5",0.0551497967581698,5.73912296357191,0.947092062037878,0.348732929136598,0.992207481930387,-5.42373715828397
"28","1043_s_at","RAD52","5893","RAD52 homolog, DNA repair protein",0.086594796297029,4.23865556237831,1.10372473797412,0.27567577628728,0.992207481930387,-5.27692824790069
"29","1048_at","RXRG","6258","retinoid X receptor gamma",0.092842780370253,5.51839387828245,1.30837332391314,0.197498877150743,0.970949891144551,-5.05350281330726
"30","1049_g_at","RXRG","6258","retinoid X receptor gamma",-0.0530902572530634,7.03093259423046,-0.872772792695499,0.387496168145283,0.992207481930387,-5.48588982889292
"31","105_at","NR1I3","9970","nuclear receptor subfamily 1 group I member 3",-0.0186614798879434,4.72617083554495,-0.319248337649487,0.751039746861055,0.992207481930387,-5.7920271974926
"32","1050_at","MLANA","2315","melan-A",0.0342268659698073,3.0193931185989,0.732187386934925,0.467912825617243,0.992207481930387,-5.59002850501291
"33","1051_g_at","MLANA","2315","melan-A",0.00884197774547779,5.80916299164621,0.103433358953474,0.918086169746603,0.995987028304777,-5.83473932534634
"34","1056_s_at","IL16","3603","interleukin 16",-0.0151540918978652,4.53628745660862,-0.185676154542346,0.853546834660517,0.992207481930387,-5.82359704127717
"35","1059_at","NTRK3","4916","neurotrophic receptor tyrosine kinase 3",0.0373451429886753,4.15049951464068,0.646658761709809,0.521191436620032,0.992207481930387,-5.64468449645107
"36","106_at","RUNX3","864","RUNX family transcription factor 3",-0.758449919483208,7.01326432038538,-2.63810643072621,0.0114622893670279,0.590996659868988,-2.82813752200716
"37","1060_g_at","NTRK3","4916","neurotrophic receptor tyrosine kinase 3",0.0225258860627289,7.20323326099781,0.282117344422889,0.779168216553706,0.992207481930387,-5.80247357837379
"38","1061_at","IL10RA","3587","interleukin 10 receptor subunit alpha",-0.22276372507323,7.25076593403979,-2.02359498272822,0.0490738389389906,0.788729603540916,-4.01033665970947
"39","1065_at","FLT3","2322","fms related tyrosine kinase 3",-0.0306015025834077,5.52125480960171,-0.44204188591805,0.660610799874338,0.992207481930387,-5.74835520642867
"40","1066_at","IL12RB1","3594","interleukin 12 receptor subunit beta 1",0.00864696271627441,6.59690772158236,0.126464511596268,0.899936854320524,0.995436193769217,-5.83225754850007
"41","1067_at","FLT3LG","2323","fms related tyrosine kinase 3 ligand",-0.108482185172663,5.75460069863431,-1.2186714305787,0.229423126280554,0.98978605445485,-5.15577696961761
"42","1068_g_at","FLT3LG","2323","fms related tyrosine kinase 3 ligand",-0.0201719009275001,7.87887203719451,-0.358617651262134,0.721585680932425,0.992207481930387,-5.77954955503971
"43","1069_at","PTGS2","5743","prostaglandin-endoperoxide synthase 2",-0.134577983006756,4.78342310754735,-0.50294760343107,0.617494154013518,0.992207481930387,-5.72151641394203
"44","107_at","RAB40AL","282808","RAB40A like",0.0708838916450256,6.38468585390373,1.01572491585815,0.315279439418195,0.992207481930387,-5.36203170367117
"45","1071_at","GATA2","2624","GATA binding protein 2",0.00965895374212256,6.84063201298095,0.149577481007274,0.881777317382871,0.995189853542629,-5.82926748087537
"46","1072_g_at","GATA2","2624","GATA binding protein 2",0.0199612071680066,7.40012038567017,0.250950363235157,0.803013582464857,0.992207481930387,-5.81024990093797
"47","1075_f_at","IFNA16","3449","interferon alpha 16",0.0245146977718429,4.24440785151624,0.411684730059782,0.68255691467208,0.992207481930387,-5.76045280815169
"48","1076_at","IL1A","3552","interleukin 1 alpha",0.106837397159128,3.71433180105531,1.141169225142,0.259934872670897,0.992207481930387,-5.23869657321791
"49","1077_at","RAG1","5896","recombination activating 1",-0.0217087284164825,3.70513839537985,-0.407266343735999,0.685774944281542,0.992207481930387,-5.76214246036326
"50","1078_at","PRLR","5618","prolactin receptor",-0.0207753281809993,4.37105630346251,-0.438001684208086,0.663514761346096,0.992207481930387,-5.75001444287533
"51","1079_g_at","PRLR","5618","prolactin receptor",-0.0318878499150017,6.79898559433011,-0.342403089832171,0.733667876064432,0.992207481930387,-5.78486311683601
"52","108_g_at","RAB40B","10966","RAB40B, member RAS oncogene family",0.0430256689170339,8.05677637837676,0.701703150154727,0.486536946390998,0.992207481930387,-5.61026854567291
"53","108_g_at","RAB40A","142684","RAB40A, member RAS oncogene family",0.0430256689170339,8.05677637837676,0.701703150154727,0.486536946390998,0.992207481930387,-5.61026854567291
"54","108_g_at","RAB40AL","282808","RAB40A like",0.0430256689170339,8.05677637837676,0.701703150154727,0.486536946390998,0.992207481930387,-5.61026854567291
"55","1080_s_at","CYP1A2","1544","cytochrome P450 family 1 subfamily A member 2",0.0921123762316096,5.08001209702099,1.40922818234994,0.165753475137878,0.953750477873267,-4.93057019722722
"56","1082_at","PLCG1","5335","phospholipase C gamma 1",0.224565271348952,6.15351992440116,2.32799830990723,0.0245435598876389,0.71695779565027,-3.45443304800454
"57","1084_at","ABL2","27","ABL proto-oncogene 2, non-receptor tyrosine kinase",0.00926883772387033,5.67150700734544,0.169718164214924,0.866004951793027,0.992207481930387,-5.8262541328812
