"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1001_at","TIE1","7075","tyrosine kinase with immunoglobulin like and EGF like domains 1",-0.348601554559306,6.43106412415938,-3.25746420763892,0.00216151680678905,0.0357580302606794,-1.57727080614916
"2","1002_f_at","CYP2C19","1557","cytochrome P450 family 2 subfamily C member 19",-0.0279689582463662,4.93606517332499,-0.443428188419459,0.659615585813066,0.820955416960761,-6.14244778698432
"3","1003_s_at","CXCR5","643","C-X-C motif chemokine receptor 5",0.0467161588098364,6.94758718735179,0.586005099220296,0.560847948032353,0.756864346922317,-6.07065957988549
"4","1004_at","CXCR5","643","C-X-C motif chemokine receptor 5",0.0787510544163084,6.67963420365534,1.12052425015521,0.268532234576301,0.507852820476114,-5.62993036090274
"5","1006_at","MMP10","4319","matrix metallopeptidase 10",0.398862847965682,4.87381298536026,2.22631954728148,0.0311283908518304,0.16327138472953,-3.9312913269078
"6","1010_at","MAPK11","5600","mitogen-activated protein kinase 11",0.0651791523405683,6.2987081196878,1.00177312133607,0.321897354527838,0.559415790796613,-5.75077707533062
"7","1012_at","KAT2B","8850","lysine acetyltransferase 2B",-0.200741854892928,4.31964975262126,-1.78565155064912,0.081006728519803,0.271550345034323,-4.72554158078233
"8","1015_s_at","LIMK1","3984","LIM domain kinase 1",0.108210115233425,6.58267476027458,1.75569988559585,0.086056714422747,0.280237560041506,-4.7741677490591
"9","1016_s_at","IL13RA2","3598","interleukin 13 receptor subunit alpha 2",0.0420109337251322,4.11759447503195,0.52315248630264,0.603476891493612,0.784055854131179,-6.10472645906334
"10","1018_at","WNT10B","7480","Wnt family member 10B",-0.116424966402603,6.86318560028994,-1.25149510742723,0.217326453410772,0.454121056133827,-5.48191783772403
"11","1019_g_at","WNT10B","7480","Wnt family member 10B",-0.0139462880200085,7.70683655491069,-0.177589024702693,0.859855801326385,0.932081682363328,-6.22348948960785
"12","102_at","HIPK3","10114","homeodomain interacting protein kinase 3",-0.0387544065538887,4.00868435882034,-0.500628568108062,0.619112393315121,0.792185355228781,-6.1160071530236
"13","1021_at","IFNG","3458","interferon gamma",0.107516401694383,5.29397192609132,1.75470487921075,0.0862288941324946,0.280237560041506,-4.77577093934166
"14","1022_f_at","IFNA14","3448","interferon alpha 14",0.00996025225105246,4.38167636367765,0.15003964204419,0.881414824901723,0.943164615897717,-6.22792929308265
"15","1023_at","EPO","2056","erythropoietin",0.133610475554666,6.72648467734125,2.13667008374001,0.0381885842838637,0.183377568804944,-4.10442443574743
"16","1024_at","CYP1A1","1543","cytochrome P450 family 1 subfamily A member 1",0.0721285553315143,6.5378773831986,1.13174879637674,0.263833158751424,0.503536735512632,-5.61784653298657
"17","1025_g_at","CYP1A1","1543","cytochrome P450 family 1 subfamily A member 1",0.082349721032112,5.21009337173781,1.23808756026754,0.222209068130993,0.459757137979263,-5.49777089260657
"18","1026_s_at","COL11A2","1302","collagen type XI alpha 2 chain",-0.0473768561269621,7.37928351777617,-0.692375832093516,0.492317167251164,0.702859976293275,-6.00436774772001
"19","1027_at","COL11A2","1302","collagen type XI alpha 2 chain",0.200636268588671,6.28395004883973,3.04544838069721,0.0039047127708511,0.0500431579252756,-2.10994436716956
"20","1028_at","TOP3A","7156","DNA topoisomerase III alpha",0.0781968670550084,5.88825140719141,1.15150627113157,0.255704922449215,0.495500501443994,-5.59630125036153
"21","1029_s_at","TXK","7294","TXK tyrosine kinase",0.34026082986076,4.53498424657937,3.23624730476703,0.00229531277489811,0.0369238210919882,-1.63155982075628
"22","1032_at","CXCR2","3579","C-X-C motif chemokine receptor 2",-0.0471019147933838,8.30418006850774,-0.450685536635322,0.654415798070584,0.817103712036619,-6.1392688190806
"23","1033_g_at","CXCR2","3579","C-X-C motif chemokine receptor 2",-0.0200205523297523,6.23296691717266,-0.285754149773734,0.776399221208718,0.890256202846278,-6.19885410161883
"24","1036_at","IL15","3600","interleukin 15",0.225016904065267,4.10196251440792,1.76665219994818,0.0841803966492009,0.276871329645968,-4.75646909946102
"25","1037_at","BAGE","574","B melanoma antigen",0.0285572773177769,4.39918247600981,0.499130198009284,0.620158983522884,0.792978516775248,-6.11674018572763
"26","1040_s_at","ABI2","10152","abl interactor 2",0.326669658747315,5.76322422897085,3.52386430075576,0.00100118185845714,0.0219747592948761,-0.878333944862873
"27","1041_at","EFNA5","1946","ephrin A5",0.0841557184837427,5.73912296357191,1.39166804681032,0.170976126962877,0.399828820393472,-5.30675417530585
"28","1043_s_at","RAD52","5893","RAD52 homolog, DNA repair protein",0.0254489210354514,4.23865556237831,0.312350423493798,0.756240720579756,0.878342086923362,-6.19104084921215
"29","1048_at","RXRG","6258","retinoid X receptor gamma",-0.0492975406313247,5.51839387828245,-0.668979084605014,0.506982477560933,0.715913706282219,-6.01987658703484
"30","1049_g_at","RXRG","6258","retinoid X receptor gamma",0.0651955800502506,7.03093259423046,1.03206789039865,0.307645626380336,0.543968010284196,-5.72116826787135
"31","105_at","NR1I3","9970","nuclear receptor subfamily 1 group I member 3",-0.0588671985174729,4.72617083554495,-0.969749747151905,0.337439659684051,0.575122623888286,-5.78115977279428
"32","1050_at","MLANA","2315","melan-A",0.12932205710301,3.0193931185989,2.6639830458741,0.0107311346690977,0.091337520275145,-3.00859176918859
"33","1051_g_at","MLANA","2315","melan-A",0.000605967711289068,5.80916299164621,0.0068259709842426,0.994584371916521,0.996729799287184,-6.23898387640931
"34","1056_s_at","IL16","3603","interleukin 16",0.0913881500580986,4.53628745660862,1.07825094118377,0.286761810796678,0.525887202365618,-5.67441885091506
"35","1059_at","NTRK3","4916","neurotrophic receptor tyrosine kinase 3",0.0443341046657277,4.15049951464068,0.739235347756434,0.463665756584377,0.679531175856441,-5.97174073577664
"36","106_at","RUNX3","864","RUNX family transcription factor 3",-0.0333286832266992,7.01326432038538,-0.11163163917889,0.911620074949981,0.957046803062621,-6.23287404810235
"37","1060_g_at","NTRK3","4916","neurotrophic receptor tyrosine kinase 3",-0.110031133158964,7.20323326099781,-1.32698872540625,0.191316037348821,0.425502733795688,-5.38970500713338
"38","1061_at","IL10RA","3587","interleukin 10 receptor subunit alpha",-0.00435328960261661,7.25076593403979,-0.0380803056200408,0.969794853521857,0.985214975300352,-6.23829307280873
"39","1065_at","FLT3","2322","fms related tyrosine kinase 3",0.0372441372296244,5.52125480960171,0.518062709994881,0.606994005025767,0.784789769541168,-6.10731845389383
"40","1066_at","IL12RB1","3594","interleukin 12 receptor subunit beta 1",0.152964615965637,6.59690772158236,2.15426838859451,0.0367006625709419,0.179479117397369,-4.07088724522733
"41","1067_at","FLT3LG","2323","fms related tyrosine kinase 3 ligand",-0.224475622922449,5.75460069863431,-2.42829325810432,0.0192999660194453,0.124527372433365,-3.52095582582915
"42","1068_g_at","FLT3LG","2323","fms related tyrosine kinase 3 ligand",-0.0139367679116074,7.87887203719451,-0.238589126112692,0.812525158733867,0.910472104057914,-6.21100689493815
